	uniprot_ids	substrates
0	P9WJW5	DNA (containing 6-O-methylguanine)
1	P9WJW5	protein L-cysteine
2	O67467	DNA containing 6-O-methylguanine
3	O67467	[protein]-L-cysteine
4	O27970	DNA containing 6-O-methylguanine
5	O27970	[protein]-L-cysteine
6	P16455	DNA containing 6-O-methylguanine
7	P16455	[protein]-L-cysteine
8	P16455	DNA (containing 6-O-methylguanine)
9	P16455	[protein]-L-cysteine
10	P16455	more
11	P16455	DNA (containing 6-O-methylguanine)
12	P16455	protein L-cysteine
13	Q97VW7	DNA (containing 6-O-methylguanine)
14	Q97VW7	[protein]-L-cysteine
15	Q97VW7	DNA (containing 6-O-methylguanine)
16	Q97VW7	[protein] L-cysteine
17	Q97VW7	SNAP-Vista Green
18	Q97VW7	[protein]-L-cysteine
0	P27680	S-adenosyl-L-methionine
1	P27680	3-demethylubiquinol-3
2	P27680	S-adenosyl-L-methionine
3	P27680	3-demethylubiquinol-6
4	Q9NZJ6	S-adenosyl-L-methionine
5	Q9NZJ6	3-demethylubiquinol-3
6	Q9NZJ6	S-adenosyl-L-methionine
7	Q9NZJ6	3-demethylubiquinol-6
8	Q9NZJ6	S-adenosyl-L-methionine
9	Q9NZJ6	3-demethylubiquinol-10
10	Q9NZJ6	more
11	Q63159	S-adenosyl-L-methionine
12	Q63159	3-demethylubiquinol-3
13	Q63159	S-adenosyl-L-methionine
14	Q63159	3-demethylubiquinol-9
15	C3T302	S-adenosyl-L-methionine
16	C3T302	3-demethylubiquinol-n
0	P51580	S-adenosyl-L-methionine
1	P51580	6-thioguanine
2	P51580	S-adenosyl-L-methionine
3	P51580	a thiopurine
4	P51580	S-adenosyl-L-methionine
5	P51580	6-mercaptopurine
6	P51580	S-adenosyl-L-methionine
7	P51580	azathioprine
8	O55060	S-adenosyl-L-methionine
9	O55060	6-thioguanine
10	O55060	S-adenosyl-L-methionine
11	O55060	a thiopurine
12	O55060	S-adenosyl-L-methionine
13	O55060	6-mercaptopurine
0	Q9FK25	S-adenosyl-L-methionine
1	Q9FK25	N-acetylserotonin
2	Q9FK25	more
3	Q27I63	myricetin
4	Q27I63	ethyl gallate
5	Q27I63	methyl gallate
6	Q27I63	n-propyl gallate
7	Q27I63	more
8	Q27I62	myricetin
9	Q27I62	ethyl gallate
10	Q27I62	methyl gallate
11	Q27I62	n-propyl gallate
12	Q27I62	delphinidin
13	Q27I62	myricitrin
14	Q27I62	more
15	Q38J50	S-adenosyl-L-methionine
16	Q38J50	3,4-dihydroxy-trans-cinnamate
17	Q38J50	S-adenosyl-L-methionine
18	Q38J50	5-hydroxyconiferyl alcohol
19	Q38J50	S-adenosyl-L-methionine
20	Q38J50	5-hydroxyconiferaldehyde
21	Q38J50	S-adenosyl-L-methionine
22	Q38J50	caffeoyl alcohol
23	Q38J50	S-adenosyl-L-methionine
24	Q38J50	caffeoyl aldehyde
