	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	118328	CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)NC(=O)C	N-[4,5-dihydroxy-6-(hydroxymethyl)-2-(4-methyl-2-oxochromen-7-yl)oxyoxan-3-yl]acetamide	"AAADceB6PAAAAAAAAAAAAAAAAAAAAAAAAAA0QIAAAAAAAACBAAAAHgAQCAAADDzxmAcyDoLABgCI
AiHSGAACCAAgIAAIiIAOCMgfNyKEsRqneiCn1hWfqQfw8K8OIAAACAAIAABAAAAQABAAAAAAAAAA
AA=="	7-((2-Acetamido-2-deoxy-beta-D-galactopyranosyl)oxy)-4-methyl-2H-1-benzopyran-2-one
1	2733787	CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)NC(=O)C	N-[(2S,3R,4R,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-(4-methyl-2-oxochromen-7-yl)oxyoxan-3-yl]acetamide	"AAADceB6PAAAAAAAAAAAAAAAAAAAAAAAAAA0QIAAAAAAAACBAAAAHgAQCAAADDzxmAcyDoLABgCI
AiHSGAACCAAgIAAIiIAOCMgfNyKEsRqneiCn1hWfqQfw8K8OIAAACAAIAABAAAAQABAAAAAAAAAA
AA=="	4-Methylumbelliferyl-N-acetyl-beta-D-glucosaminide
2	121923	CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)NC(=O)C	N-[(3R,4R,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-(4-methyl-2-oxochromen-7-yl)oxyoxan-3-yl]acetamide	"AAADceB6PAAAAAAAAAAAAAAAAAAAAAAAAAA0QIAAAAAAAACBAAAAHgAQCAAADDzxmAcyDoLABgCI
AiHSGAACCAAgIAAIiIAOCMgfNyKEsRqneiCn1hWfqQfw8K8OIAAACAAIAABAAAAQABAAAAAAAAAA
AA=="	2H-1-Benzopyran-2-one, 7-((2-(acetylamino)-2-deoxy-beta-D-glucopyranosyl)oxy)-4-methyl-
0	46173811	CC1=CC(=O)CC(C1(C=CC(=CC(=O)OC2C(C(C(C(O2)CO)O)O)O)C)O)(C)C	[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoate	"AAADceB4PAAAAAAAAAAAAAAAAAAAAAAAAAAkQAAAAAAAAAAAAAAAGgAACAAADlSwgAMCCAAABgCI
AqDSCAAAAAAgAAAICAEAAEgZFBIAIQAiUAAFgAAPsQPK6AwPgAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	(+)-abscisic acid beta-D-glucopyranosyl ester
0	5287993	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O	(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6S)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADcfB4PgAAAAAAAAAAAAAAAAAAAAAAAAAkSJAAAAAAAAAAAAAAGgAACAAACBSwgAMACAAABgAA
AAAAAAAAAAAAAAAAAAAAAAAREAIAAAAiQAAFAAAHAAHAYAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Cellotriose
0	16211722	C1=CC(=C(C=C1[N+](=O)[O-])Cl)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O	(2S,3R,4S,5R,6R)-2-[(2R,3S,4R,5R,6S)-6-(2-chloro-4-nitrophenoxy)-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADceB6PAAEAAAAAAAAAAAAAAAAAAAAAAA0SIAAAAAAAAABAAAAHgIECAAACB6xkCMwzoAQRgCB
ACRCQwCCCAAgJ0AoiAAGb4odNiOFs5uieCDlwBEP6AfwYAwAAEAAAAIACAAAgAAABAAQAAAAAAAA
AA=="	2-Chloro-4-nitrophenyl-beta-D-lactoside
0	16211722	C1=CC(=C(C=C1[N+](=O)[O-])Cl)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O	(2S,3R,4S,5R,6R)-2-[(2R,3S,4R,5R,6S)-6-(2-chloro-4-nitrophenoxy)-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADceB6PAAEAAAAAAAAAAAAAAAAAAAAAAA0SIAAAAAAAAABAAAAHgIECAAACB6xkCMwzoAQRgCB
ACRCQwCCCAAgJ0AoiAAGb4odNiOFs5uieCDlwBEP6AfwYAwAAEAAAAIACAAAgAAABAAQAAAAAAAA
AA=="	2-Chloro-4-nitrophenyl-beta-D-lactoside
0	887	CO	methanol	"AAADcYAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAACAAAAAAAAAICAAAAAgAA
AAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Methanol
0	11812612	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O	(2S,3R,4S,5R,6R)-2-[(2R,3S,4R,5R,6S)-4,5-dihydroxy-2-(hydroxymethyl)-6-(4-nitrophenoxy)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADceB6PAAAAAAAAAAAAAAAAAAAAAAAAAA0SIAAAAAAAAABAAAAHgAECAAACByxkAMwzoAQRgCB
ACRCQwCCCAAgIgAoiAAGbIodNiKEsZuieCDlwBEP6AfwYAwAAEAAAAAAAAAAgAAAAAAAAAAAAAAA
AA=="	P-Nitrophenyl beta-D-lactopyranoside
0	5067795	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O)O)O)O)O	2-[6-[6-[6-[4,5-dihydroxy-2-(hydroxymethyl)-6-(4-nitrophenoxy)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADcfB+PgAAAAAAAAAAAAAAAAAAAAAAAAA0SJEiQAAAAAABAAAAHgAECAAACByxkAMwzoAQRgCB
ACRCQwCCCAAgIgAoiAAGbIodNiKEsZuieCDlwBEP6AfwYAwAAEAAAAAAAAAAgAAAAAAAAAAAAAAA
AA=="	2-[6-[6-[6-[4,5-Dihydroxy-2-(hydroxymethyl)-6-(4-nitrophenoxy)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol
